PeakID	PrimPeakWin	PrimPeakHeight	PValue
0	995	0.42202147772	0
1	1921	0.14080873804	0.32102
2	8670	0.10244772368	0.767066666666667
3	9790	0.13567863224	0.33835
4	10286	0.1492809746	0.265325
5	10776	0.12308703484	0.4288625
6	11108	0.12651726472	0.427342857142857
7	11851	0.27936598376	0
8	12691	0.51709378756	0
